order,seasonal_order,AIC,BIC,converged
"(4, 2, 1)","(1, 1, 1, 24)",33414.75451308088,33468.50670722465,False
"(0, 2, 2)","(1, 1, 1, 24)",33491.390670098495,33527.22753480323,False
"(3, 2, 1)","(1, 1, 1, 24)",33601.75672773018,33649.53921400315,False
"(3, 2, 0)","(1, 1, 1, 24)",33614.37549225338,33656.185167742224,True
"(2, 2, 1)","(1, 1, 1, 24)",33624.80151304195,33666.61360107606,False
"(2, 2, 0)","(1, 1, 1, 24)",33910.492199051994,33946.33113165266,True
"(1, 2, 0)","(1, 1, 1, 24)",34531.20889534538,34561.0763951655,True
"(0, 2, 0)","(1, 1, 1, 24)",36275.4351298344,36299.32912969049,True
"(6, 0, 3)","(1, 1, 1, 24)",36561.263241241715,36638.90529944938,False
"(4, 0, 2)","(1, 1, 1, 24)",66576.08093895525,66635.81249328969,False
"(4, 0, 1)","(1, 1, 1, 24)",,,False
"(5, 0, 2)","(1, 1, 1, 24)",,,False
"(6, 0, 1)","(1, 1, 1, 24)",,,False
"(6, 0, 2)","(1, 1, 1, 24)",,,False
